--- frame ---
3: 0.578267, 561.798828, 2753.072754
5: 50.848633, 299.403198, 2841.901367
7: 99.259285, 66.505157, 2837.684082
8: -153.283920, 366.668152, 2759.941162
9: -242.245895, 173.928360, 2769.098633
10: -51.263660, 180.964066, 2775.833984
11: -272.992737, -271.096741, 2790.201172
13: -277.881073, -670.452271, 2884.426758
12: -62.860310, -248.129623, 2785.014893
14: -63.784901, -654.346924, 2859.085693

--- frame ---
0: -144.435516, 824.237854, 2741.769287
1: -150.514359, 558.953491, 2746.691650
2: -306.925446, 556.167725, 2741.183594
4: -363.912842, 327.090637, 2804.194336
6: -345.610901, 53.818512, 2649.484375
3: 5.896714, 561.739258, 2752.199707
5: 57.740303, 296.366333, 2842.726562
7: 92.751297, 53.719208, 2839.469238
8: -147.593430, 368.652466, 2759.993652
9: -239.901459, 176.655365, 2769.942139
10: -49.443535, 180.047516, 2776.649170
11: -272.135742, -271.106140, 2790.397949
13: -277.822113, -669.208130, 2885.359375
12: -60.040787, -250.255035, 2784.429932
14: -64.178589, -656.211792, 2857.572021

--- frame ---
0: -137.231537, 825.357788, 2739.975342
1: -145.787994, 560.551697, 2744.706787
2: -300.847626, 558.328186, 2740.343994
4: -366.194489, 320.913452, 2804.459229
6: -338.934235, 58.473785, 2636.721680
3: 9.271629, 562.775208, 2749.069580
5: 74.758362, 304.810089, 2840.543213
7: 100.961761, 51.812103, 2850.217041
8: -143.436600, 369.018463, 2758.750244
9: -236.657135, 176.114746, 2770.104736
10: -45.513245, 178.855713, 2775.482666
11: -270.529541, -272.767639, 2788.656738
13: -273.919891, -673.851379, 2881.060303
12: -57.695690, -250.843597, 2783.271484
14: -63.676743, -656.423584, 2854.587646

--- frame ---
0: -126.781059, 828.623901, 2737.842285
1: -140.293671, 561.584045, 2744.858643
2: -291.649811, 560.160156, 2742.050781
4: -361.889435, 317.165588, 2800.662598
6: -333.356628, 59.764038, 2632.678467
3: 11.062473, 563.007935, 2747.666504
5: 74.304100, 296.995026, 2840.562500
7: 98.326302, 49.402222, 2827.112305
8: -138.735596, 368.612549, 2758.729980
9: -231.172363, 174.756805, 2770.857666
10: -43.182690, 176.525299, 2774.344971
11: -265.667542, -268.839264, 2773.720215
13: -271.870392, -666.053162, 2881.037354
12: -56.627712, -252.423248, 2783.073486
14: -63.868919, -656.773010, 2853.491699

--- frame ---
0: -120.482826, 826.868713, 2737.372559
1: -133.103989, 561.277832, 2743.325928
2: -282.455566, 562.432983, 2739.582764
4: -359.017212, 319.223694, 2798.406494
6: -334.487549, 64.192764, 2633.610596
3: 16.247602, 560.122681, 2747.069092
5: 80.570320, 272.549774, 2841.262695
7: 102.728027, 55.558121, 2824.152588
8: -134.960617, 368.850525, 2758.022217
9: -229.898102, 177.143097, 2770.385742
10: -43.736378, 175.703278, 2775.051270
11: -261.701294, -264.616638, 2764.827393
13: -270.735291, -659.572937, 2881.218262
12: -54.872757, -255.328491, 2783.437500
14: -63.800907, -658.755005, 2853.100830

--- frame ---
0: -116.285683, 826.852417, 2737.739502
1: -129.451935, 559.964111, 2743.258789
2: -277.231476, 561.367493, 2739.336182
4: -356.886414, 318.643066, 2798.644043
6: -327.315002, 77.373230, 2640.810547
3: 18.327604, 558.560791, 2747.181396
5: 76.825272, 279.857391, 2841.498535
7: 93.524109, 46.145554, 2821.757812
8: -131.678177, 367.660217, 2758.331543
9: -226.297897, 176.233673, 2770.951660
10: -41.510944, 174.478912, 2775.856934
11: -258.288544, -262.098389, 2760.243896
13: -269.758484, -657.050903, 2882.028320
12: -48.795162, -257.374359, 2785.073242
14: -63.658897, -659.741272, 2853.271729

--- frame ---
0: -111.536469, 827.905518, 2735.885986
1: -126.847824, 559.320068, 2743.876953
2: -276.179138, 561.608948, 2739.569336
4: -355.526245, 320.487335, 2798.416260
6: -325.430511, 78.411041, 2641.767822
3: 22.483494, 557.031128, 2748.184570
5: 77.990150, 281.067200, 2843.427002
7: 93.320282, 34.961227, 2819.324951
8: -130.211639, 367.975647, 2758.816406
9: -225.805344, 178.044922, 2771.095459
10: -41.345562, 175.217590, 2776.416260
11: -255.975296, -259.173950, 2759.104004
13: -266.097473, -657.549500, 2880.945312
12: -45.463230, -256.000244, 2783.406250
14: -61.952576, -651.765137, 2851.038330

--- frame ---
0: -112.551346, 827.778931, 2736.412354
1: -127.545128, 558.145264, 2744.403809
2: -275.490051, 560.980530, 2740.293701
4: -357.336761, 321.567566, 2800.909180
6: -328.771729, 78.495987, 2650.620850
3: 20.399788, 555.309937, 2748.513916
5: 81.625839, 283.425446, 2840.283203
7: 100.779144, 44.550674, 2819.152588
8: -131.589188, 367.839233, 2758.691650
9: -226.405609, 179.272858, 2770.457764
10: -44.860878, 175.793610, 2775.501221
11: -252.938217, -251.602509, 2753.878662
13: -262.301819, -655.175171, 2853.852295
